MAF3.0信号,MAF3.0信号,信号名称,共享内存内部信号,取值范围 单位 DBC名称,理论值factor,理论值offset,MAF获取理论值真值,MAF获取理论值,允许误差%,0不测试 1测试,0：上行 1：下行,发送信号值,发送信号值,发送信号值
ChassisReport,brake_info_report,accleration_on_wheel,accleration_on_wheel,[-21.593|21.593] m/s IPB_AX_S ,1,0,5,Senddata * Factor + Offset,5,1,0,5,1,1
ChassisReport,brake_info_report,stationary,VehStandStill,[0|3] NA Vehicle_Stand_Still_S,NA,NA,1,"=IF(F3=1,1,0)",0,1,0,1,,
ChassisReport,brake_info_report,abs_avtive,abs_active,[0|1] 1NA CCU_IPB_ABS_Active_S,1,0,1,Senddata * Factor + Offset,0,1,0,1,,
ChassisReport,brake_info_report,abs_fault,abs_fault,[0|1] NA CCU_IPB_ABS_Fault_S,1,0,1,Senddata * Factor + Offset,0,1,0,1,,
ChassisReport,throttle_report,pedal_input,VCU_ActAccrPedlRat,[0|100] % Act_acce_pedl_perc_S,0.01,0,0.1,Senddata * Factor + Offset,5,1,0,10,,
ChassisReport,throttle_report,override,VCU_AccPedlOvrd,[0|1] NA Ovrd_flg_S,1,0,1,Senddata * Factor + Offset,0,1,0,1,,
ChassisReport,throttle_info_report,output_shaft_rpm,output_shaft_rpm,[0|10000] rpm ECM_Engine_Rev10D_S,1,0,100,Senddata * Factor + Offset,0,1,0,100,,
ChassisReport,throttle_info_report,vehicle_speed_average,VehSpd,[0|281.4625] km/h Veh_spd_S,0.2778,0,2.778,Senddata * Factor + Offset,5,1,0,10,,
ChassisReport,steering_report,steering_wheel_angle_report,SteerWheelAng,[-780|779.9] NA Steering_Wheel_Angle_S,0.01745,0,1.745,Senddata * Factor + Offset,5,1,0,100,,
ChassisReport,steering_report,steering_follow_rate,steering_follow_rate,[0|1016] NA Steering_Wheel_Rotation_Speed_S,0.01745,0,1.745,Senddata * Factor + Offset,5,1,0,100,,
ChassisReport,gear_report,current_state,VCU_GearSts,[0|5] NA Rnk_S,1,0,2,Senddata * Factor + Offset,0,1,0,2,,
ChassisReport,epb_report,epb_report,EPBSts,[0|5] NA EPB_Status_S,NA,NA,2,"=IFS(F13=0,3,F13=1,2,F13=2,3,F13=3,1,F13=4,0)",0,1,0,1,,
ChassisReport,wheel_position_report,front_left,WssFLEdgesSum,[0|1023] NA CCU_FL_whl_pulse_cnt_S,1,0,10,10,5,1,0,10,,
